地名,センター,びん,缶,段ボール・紙製容器,ペットボトル,蛍光灯,プラ,燃やせる,燃やせない,備考
生野町,福井,水1,水2 水4,水4,水3,水3:5 7 9 11 1 3,木,火 金,月1 月3,福井
次郎丸町,福井,水4,水1 水3,水3,水2,水2:5 7 9 11 1 3,金,月 木,火2 火4,福井
新保町,福井,水4,水1 水3,水3,水2,水2:5 7 9 11 1 3,火,月 木,金2 金4,福井
志比口１丁目,福井,水4,水1 水3,水3,水2,水2:5 7 9 11 1 3,火,月 木,金2 金4,福井
志比口２丁目,福井,水4,水1 水3,水3,水2,水2:5 7 9 11 1 3,火,月 木,金2 金4,福井
志比口３丁目,福井,水4,水1 水3,水3,水2,水2:5 7 9 11 1 3,火,月 木,金2 金4,福井
城東４丁目,福井,水4,水1 水3,水3,水2,水2:4 6 8 10 12 2,金,月 木,火2 火4,福井
新下江守町,福井,水1,水2 水4,水4,水3,水3:4 6 8 10 12 2,月,火 金,木1 木3,福井
新田本町,福井,水3,水2 水4,水4,水1,水1:4 6 8 10 12 2,月,火 金,木2 木4,福井
新保１丁目,福井,水4,水1 水3,水3,水2,水2:5 7 9 11 1 3,火,月 木,金2 金4,福井
新保２丁目,福井,水4,水1 水3,水3,水2,水2:5 7 9 11 1 3,火,月 木,金2 金4,福井
新保３丁目,福井,水4,水1 水3,水3,水2,水2:5 7 9 11 1 3,火,月 木,金2 金4,福井
末町,福井,水2,水1 水3,水3,水4,水4:5 7 9 11 1 3,木,火 金,月2 月4,福井
末広町,福井,水1,水2 水4,水4,水3,水3:5 7 9 11 1 3,木,火 金,月1 月3,福井
菅谷町,福井,水2,水1 水3,水3,水4,水4:4 6 8 10 12 2,火,月 木,金1 金3,福井
杉谷町,福井,水1,水2 水4,水4,水3,水3:5 7 9 11 1 3,木,火 金,月1 月3,福井
菅谷１丁目,福井,水2,水1 水3,水3,水4,水4:4 6 8 10 12 2,火,月 木,金1 金3,福井
菅谷２丁目,福井,水2,水1 水3,水3,水4,水4:4 6 8 10 12 2,火,月 木,金1 金3,福井
成和１丁目,福井,水4,水1 水3,水3,水2,水2:4 6 8 10 12 2,金,月 木,火2 火4,福井
成和２丁目,福井,水4,水1 水3,水3,水2,水2:4 6 8 10 12 2,金,月 木,火2 火4,福井
曽万布町,福井,水4,水1 水3,水3,水2,水2:5 7 9 11 1 3,金,月 木,火2 火4,福井
高木町,福井,水3,水2 水4,水4,水1,水1:4 6 8 10 12 2,月,火 金,木2 木4,福井
高木１丁目,福井,水3,水2 水4,水4,水1,水1:4 6 8 10 12 2,月,火 金,木2 木4,福井
高木２丁目,福井,水3,水2 水4,水4,水1,水1:4 6 8 10 12 2,月,火 金,木2 木4,福井
高屋町,福井,水3,水2 水4,水4,水1,水1:4 6 8 10 12 2,月,火 金,木2 木4,福井
高柳町,福井,水3,水2 水4,水4,水1,水1:4 6 8 10 12 2,月,火 金,木2 木4,福井
種池町,福井,水1,水2 水4,水4,水3,水3:4 6 8 10 12 2,月,火 金,木1 木3,福井
田ノ谷町,福井,水2,水1 水3,水3,水4,水4:5 7 9 11 1 3,月,火 金,木2 木4,福井
田原１丁目,福井,水2,水1 水3,水3,水4,水4:4 6 8 10 12 2,火,月 木,金1 金3,福井
田原２丁目,福井,水2,水1 水3,水3,水4,水4:4 6 8 10 12 2,火,月 木,金1 金3,福井
高木北１丁目,福井,水3,水2 水4,水4,水1,水1:4 6 8 10 12 2,月,火 金,木2 木4,福井
高木北２丁目,福井,水3,水2 水4,水4,水1,水1:4 6 8 10 12 2,月,火 金,木2 木4,福井
高木中央１丁目,福井,水3,水2 水4,水4,水1,水1:4 6 8 10 12 2,月,火 金,木2 木4,福井
高木中央２丁目,福井,水3,水2 水4,水4,水1,水1:4 6 8 10 12 2,月,火 金,木2 木4,福井
高塚町,福井,水1,水2 水4,水4,水3,水3:5 7 9 11 1 3,火,月 木,金2 金4,福井
大願寺１丁目,福井,水3,水2 水4,水4,水1,水1:5 7 9 11 1 3,木,火 金,月2 月4,福井
大願寺２丁目,福井,水3,水2 水4,水4,水1,水1:5 7 9 11 1 3,木,火 金,月2 月4,福井
大願寺３丁目,福井,水3,水2 水4,水4,水1,水1:5 7 9 11 1 3,木,火 金,月2 月4,福井
高木北３丁目,福井,水3,水2 水4,水4,水1,水1:4 6 8 10 12 2,月,火 金,木2 木4,福井
高木北４丁目,福井,水3,水2 水4,水4,水1,水1:4 6 8 10 12 2,月,火 金,木2 木4,福井
高木北５丁目,福井,水3,水2 水4,水4,水1,水1:4 6 8 10 12 2,月,火 金,木2 木4,福井
高木西１丁目,福井,水3,水2 水4,水4,水1,水1:4 6 8 10 12 2,月,火 金,木2 木4,福井
大東１丁目,福井,水4,水1 水3,水3,水2,水2:5 7 9 11 1 3,火,月 木,金2 金4,福井
大東２丁目,福井,水4,水1 水3,水3,水2,水2:5 7 9 11 1 3,火,月 木,金2 金4,福井
大東３丁目,福井,水4,水1 水3,水3,水2,水2:5 7 9 11 1 3,火,月 木,金2 金4,福井
種池１丁目,福井,水1,水2 水4,水4,水3,水3:4 6 8 10 12 2,月,火 金,木1 木3,福井
種池２丁目,福井,水1,水2 水4,水4,水3,水3:4 6 8 10 12 2,月,火 金,木1 木3,福井
高木中央３丁目,福井,水3,水2 水4,水4,水1,水1:4 6 8 10 12 2,月,火 金,木2 木4,福井
高柳１丁目,福井,水3,水2 水4,水4,水1,水1:4 6 8 10 12 2,月,火 金,木2 木4,福井
高柳２丁目【（１７０１～１８００番以外）】,福井,水3,水2 水4,水4,水1,水1:4 6 8 10 12 2,月,火 金,木2 木4,福井
高柳２丁目【（１７０１～１８００番）】,福井,水4,水1 水3,水3,水2,水2:5 7 9 11 1 3,月,火 金,木2 木4,福井
高柳３丁目,福井,水3,水2 水4,水4,水1,水1:4 6 8 10 12 2,月,火 金,木2 木4,福井
地蔵堂町,福井,水3,水2 水4,水4,水1,水1:5 7 9 11 1 3,木,火 金,月2 月4,福井
中央１丁目,福井,水4,水1 水3,水3,水2,水2:4 6 8 10 12 2,金,月 木,火1 火3,福井
中央２丁目,福井,水4,水1 水3,水3,水2,水2:4 6 8 10 12 2,金,月 木,火1 火3,福井
中央３丁目,福井,水4,水1 水3,水3,水2,水2:4 6 8 10 12 2,金,月 木,火1 火3,福井
月見１丁目,福井,水1,水2 水4,水4,水3,水3:4 6 8 10 12 2,月,火 金,木1 木3,福井
月見２丁目,福井,水1,水2 水4,水4,水3,水3:4 6 8 10 12 2,月,火 金,木1 木3,福井
つくも１丁目,福井,水1,水2 水4,水4,水3,水3:4 6 8 10 12 2,火,月 木,金2 金4,福井
つくも２丁目,福井,水1,水2 水4,水4,水3,水3:4 6 8 10 12 2,火,月 木,金2 金4,福井
土橋町,福井,水3,水2 水4,水4,水1,水1:5 7 9 11 1 3,木,火 金,月2 月4,福井
角折町,福井,水1,水2 水4,水4,水3,水3:5 7 9 11 1 3,火,月 木,金1 金3,福井
角原町,福井,水1,水2 水4,水4,水3,水3:5 7 9 11 1 3,木,火 金,月1 月3,福井
月見３丁目,福井,水1,水2 水4,水4,水3,水3:4 6 8 10 12 2,月,火 金,木1 木3,福井
月見４丁目,福井,水1,水2 水4,水4,水3,水3:4 6 8 10 12 2,月,火 金,木1 木3,福井
月見５丁目,福井,水1,水2 水4,水4,水3,水3:4 6 8 10 12 2,月,火 金,木1 木3,福井
手寄１丁目,福井,水4,水1 水3,水3,水2,水2:4 6 8 10 12 2,金,月 木,火2 火4,福井
手寄２丁目,福井,水4,水1 水3,水3,水2,水2:4 6 8 10 12 2,金,月 木,火2 火4,福井
寺前町,福井,水3,水2 水4,水4,水1,水1:4 6 8 10 12 2,月,火 金,木2 木4,福井
照手１丁目,福井,水2,水1 水3,水3,水4,水4:4 6 8 10 12 2,火,月 木,金1 金3,福井
照手２丁目,福井,水2,水1 水3,水3,水4,水4:4 6 8 10 12 2,火,月 木,金1 金3,福井
照手３丁目,福井,水2,水1 水3,水3,水4,水4:4 6 8 10 12 2,火,月 木,金1 金3,福井
照手４丁目,福井,水2,水1 水3,水3,水4,水4:4 6 8 10 12 2,火,月 木,金1 金3,福井
照手町４丁目,福井,水2,水1 水3,水3,水4,水4:4 6 8 10 12 2,火,月 木,金1 金3,福井
殿下町,福井,水4,水1 水3,水3,水2,水2:5 7 9 11 1 3,月,火 金,木2 木4,福井
問屋町１丁目,福井,水4,水1 水3,水3,水2,水2:4 6 8 10 12 2,金,月 木,火2 火4,福井
問屋町２丁目,福井,水4,水1 水3,水3,水2,水2:4 6 8 10 12 2,金,月 木,火2 火4,福井
問屋町３丁目,福井,水4,水1 水3,水3,水2,水2:4 6 8 10 12 2,金,月 木,火2 火4,福井
問屋町４丁目,福井,水4,水1 水3,水3,水2,水2:4 6 8 10 12 2,金,月 木,火2 火4,福井
浅水三ケ町,福井,水1,水2 水4,水4,水3,水3:5 7 9 11 1 3,木,火 金,月1 月3,福井
堂島町,福井,水4,水1 水3,水3,水2,水2:5 7 9 11 1 3,月,火 金,木2 木4,福井
灯明寺町,福井,水3,水2 水4,水4,水1,水1:4 6 8 10 12 2,月,火 金,木2 木4,福井
徳尾町,福井,水1,水2 水4,水4,水3,水3:5 7 9 11 1 3,木,火 金,月1 月3,福井
豊島１丁目,福井,水4,水1 水3,水3,水2,水2:4 6 8 10 12 2,金,月 木,火2 火4,福井
豊島２丁目,福井,水4,水1 水3,水3,水2,水2:4 6 8 10 12 2,金,月 木,火2 火4,福井
豊岡１丁目,福井,水2,水1 水3,水3,水4,水4:4 6 8 10 12 2,火,月 木,金1 金3,福井
豊岡２丁目,福井,水2,水1 水3,水3,水4,水4:4 6 8 10 12 2,火,月 木,金1 金3,福井
灯明寺１丁目,福井,水3,水2 水4,水4,水1,水1:4 6 8 10 12 2,月,火 金,木2 木4,福井
灯明寺２丁目,福井,水3,水2 水4,水4,水1,水1:4 6 8 10 12 2,月,火 金,木2 木4,福井
灯明寺３丁目,福井,水3,水2 水4,水4,水1,水1:4 6 8 10 12 2,月,火 金,木2 木4,福井
灯明寺４丁目,福井,水3,水2 水4,水4,水1,水1:4 6 8 10 12 2,月,火 金,木2 木4,福井
中荒井町,福井,水1,水2 水4,水4,水3,水3:5 7 9 11 1 3,木,火 金,月1 月3,福井
中角町,福井,水3,水2 水4,水4,水1,水1:4 6 8 10 12 2,月,火 金,木2 木4,福井
中野町,福井,水1,水2 水4,水4,水3,水3:5 7 9 11 1 3,木,火 金,月1 月3,福井
中ノ郷町,福井,水4,水1 水3,水3,水2,水2:5 7 9 11 1 3,月,火 金,木2 木4,福井
中藤新保町,福井,水3,水2 水4,水4,水1,水1:4 6 8 10 12 2,月,火 金,木2 木4,福井
長本町,福井,水4,水1 水3,水3,水2,水2:5 7 9 11 1 3,火,月 木,金2 金4,福井
南居町,福井,水1,水2 水4,水4,水3,水3:5 7 9 11 1 3,木,火 金,月1 月3,福井
中野１丁目,福井,水1,水2 水4,水4,水3,水3:5 7 9 11 1 3,木,火 金,月1 月3,福井
中野２丁目,福井,水1,水2 水4,水4,水3,水3:5 7 9 11 1 3,木,火 金,月1 月3,福井
中野３丁目,福井,水1,水2 水4,水4,水3,水3:5 7 9 11 1 3,木,火 金,月1 月3,福井
中新田町,福井,水4,水1 水3,水3,水2,水2:5 7 9 11 1 3,月,火 金,木2 木4,福井
西板垣町,福井,水4,水1 水3,水3,水2,水2:4 6 8 10 12 2,金,月 木,火2 火4,福井
西開発１丁目,福井,水4,水1 水3,水3,水2,水2:5 7 9 11 1 3,火,月 木,金2 金4,福井
西木田１丁目,福井,水1,水2 水4,水4,水3,水3:4 6 8 10 12 2,月,火 金,木1 木3,福井
西木田２丁目,福井,水1,水2 水4,水4,水3,水3:4 6 8 10 12 2,月,火 金,木1 木3,福井
西木田３丁目,福井,水1,水2 水4,水4,水3,水3:4 6 8 10 12 2,月,火 金,木1 木3,福井
西木田４丁目,福井,水1,水2 水4,水4,水3,水3:4 6 8 10 12 2,月,火 金,木1 木3,福井
西下野町,福井,水1,水2 水4,水4,水3,水3:5 7 9 11 1 3,火,月 木,金2 金4,福井
西谷町,福井,水1,水2 水4,水4,水3,水3:4 6 8 10 12 2,月,火 金,木1 木3,福井
西堀町,福井,水3,水2 水4,水4,水1,水1:5 7 9 11 1 3,木,火 金,月2 月4,福井
二の宮１丁目,福井,水3,水2 水4,水4,水1,水1:5 7 9 11 1 3,木,火 金,月2 月4,福井
二の宮２丁目,福井,水3,水2 水4,水4,水1,水1:5 7 9 11 1 3,木,火 金,月2 月4,福井
二の宮３丁目,福井,水3,水2 水4,水4,水1,水1:5 7 9 11 1 3,木,火 金,月2 月4,福井
二の宮４丁目,福井,水3,水2 水4,水4,水1,水1:5 7 9 11 1 3,木,火 金,月2 月4,福井
二の宮５丁目,福井,水3,水2 水4,水4,水1,水1:5 7 9 11 1 3,木,火 金,月2 月4,福井
新田塚町,福井,水3,水2 水4,水4,水1,水1:4 6 8 10 12 2,月,火 金,木2 木4,福井
西学園１丁目,福井,水1,水2 水4,水4,水3,水3:5 7 9 11 1 3,火,月 木,金1 金3,福井
西学園２丁目,福井,水1,水2 水4,水4,水3,水3:5 7 9 11 1 3,火,月 木,金1 金3,福井
西学園３丁目,福井,水1,水2 水4,水4,水3,水3:5 7 9 11 1 3,火,月 木,金1 金3,福井
西開発２丁目,福井,水4,水1 水3,水3,水2,水2:5 7 9 11 1 3,火,月 木,金2 金4,福井
西開発３丁目,福井,水4,水1 水3,水3,水2,水2:5 7 9 11 1 3,火,月 木,金2 金4,福井
西開発４丁目,福井,水4,水1 水3,水3,水2,水2:5 7 9 11 1 3,火,月 木,金2 金4,福井
西木田５丁目,福井,水1,水2 水4,水4,水3,水3:4 6 8 10 12 2,月,火 金,木1 木3,福井
新田塚１丁目,福井,水3,水2 水4,水4,水1,水1:4 6 8 10 12 2,月,火 金,木2 木4,福井
新田塚２丁目,福井,水3,水2 水4,水4,水1,水1:4 6 8 10 12 2,月,火 金,木2 木4,福井
西方１丁目,福井,水4,水1 水3,水3,水2,水2:4 6 8 10 12 2,金,月 木,火2 火4,福井
西方２丁目,福井,水4,水1 水3,水3,水2,水2:4 6 8 10 12 2,金,月 木,火2 火4,福井
西谷１丁目,福井,水1,水2 水4,水4,水3,水3:4 6 8 10 12 2,月,火 金,木1 木3,福井
西谷２丁目,福井,水1,水2 水4,水4,水3,水3:4 6 8 10 12 2,月,火 金,木1 木3,福井
西谷３丁目,福井,水1,水2 水4,水4,水3,水3:4 6 8 10 12 2,月,火 金,木1 木3,福井
日光１丁目,福井,水2,水1 水3,水3,水4,水4:4 6 8 10 12 2,火,月 木,金1 金3,福井
日光２丁目,福井,水2,水1 水3,水3,水4,水4:4 6 8 10 12 2,火,月 木,金1 金3,福井
羽坂町,福井,水2,水1 水3,水3,水4,水4:5 7 9 11 1 3,木,火 金,月2 月4,福井
花野谷町,福井,水4,水1 水3,水3,水2,水2:5 7 9 11 1 3,金,月 木,火2 火4,福井
花守町,福井,水1,水2 水4,水4,水3,水3:5 7 9 11 1 3,木,火 金,月1 月3,福井
林町,福井,水4,水1 水3,水3,水2,水2:5 7 9 11 1 3,月,火 金,木2 木4,福井
原目町,福井,水4,水1 水3,水3,水2,水2:5 7 9 11 1 3,月,火 金,木2 木4,福井
春山１丁目,福井,水2,水1 水3,水3,水4,水4:4 6 8 10 12 2,火,月 木,金1 金3,福井
春山２丁目,福井,水2,水1 水3,水3,水4,水4:4 6 8 10 12 2,火,月 木,金1 金3,福井
林藤島町,福井,水4,水1 水3,水3,水2,水2:5 7 9 11 1 3,月,火 金,木2 木4,福井
花堂北１丁目,福井,水1,水2 水4,水4,水3,水3:4 6 8 10 12 2,月,火 金,木1 木3,福井
花堂北２丁目,福井,水1,水2 水4,水4,水3,水3:4 6 8 10 12 2,月,火 金,木1 木3,福井
花堂中１丁目,福井,水1,水2 水4,水4,水3,水3:4 6 8 10 12 2,月,火 金,木1 木3,福井
花堂中２丁目,福井,水1,水2 水4,水4,水3,水3:4 6 8 10 12 2,月,火 金,木1 木3,福井
花堂南１丁目【１・２・３・４・１１番以外】,福井,水1,水2 水4,水4,水3,水3:5 7 9 11 1 3,木,火 金,月1 月3,福井
花堂南１丁目【１・２・３・４・１１番】,福井,水1,水2 水4,水4,水3,水3:4 6 8 10 12 2,月,火 金,木1 木3,福井
花堂南２丁目,福井,水1,水2 水4,水4,水3,水3:4 6 8 10 12 2,月,火 金,木1 木3,福井
花堂東１丁目【（２４．３２．３３字以外）】,福井,水4,水1 水3,水3,水2,水2:4 6 8 10 12 2,金,月 木,火2 火4,福井
花堂東１丁目【（越美北線南）】,福井,水1,水2 水4,水4,水3,水3:5 7 9 11 1 3,木,火 金,月1 月3,福井
花堂東２丁目,福井,水4,水1 水3,水3,水2,水2:4 6 8 10 12 2,金,月 木,火2 火4,福井
東今泉町,福井,水4,水1 水3,水3,水2,水2:5 7 9 11 1 3,火,月 木,金2 金4,福井
東下野町,福井,水1,水2 水4,水4,水3,水3:5 7 9 11 1 3,火,月 木,金2 金4,福井
引目町,福井,水1,水2 水4,水4,水3,水3:5 7 9 11 1 3,木,火 金,月1 月3,福井
日之出１丁目,福井,水4,水1 水3,水3,水2,水2:5 7 9 11 1 3,火,月 木,金2 金4,福井
日之出２丁目,福井,水4,水1 水3,水3,水2,水2:5 7 9 11 1 3,火,月 木,金2 金4,福井
日之出３丁目,福井,水4,水1 水3,水3,水2,水2:5 7 9 11 1 3,火,月 木,金2 金4,福井
日之出４丁目,福井,水4,水1 水3,水3,水2,水2:5 7 9 11 1 3,火,月 木,金2 金4,福井
日之出５丁目,福井,水4,水1 水3,水3,水2,水2:5 7 9 11 1 3,火,月 木,金2 金4,福井
深谷町,福井,水3,水2 水4,水4,水1,水1:5 7 9 11 1 3,木,火 金,月2 月4,福井
福町,福井,水1,水2 水4,水4,水3,水3:4 6 8 10 12 2,月,火 金,木1 木3,福井
福新町,福井,水1,水2 水4,水4,水3,水3:4 6 8 10 12 2,木,火 金,月2 月4,福井
藤島町,福井,水4,水1 水3,水3,水2,水2:5 7 9 11 1 3,月,火 金,木2 木4,福井
渕町【５・６字以外】,福井,水1,水2 水4,水4,水3,水3:4 6 8 10 12 2,月,火 金,木1 木3,福井
渕町【５・６字】,福井,水1,水2 水4,水4,水3,水3:4 6 8 10 12 2,木,火 金,月2 月4,福井
二日市町,福井,水3,水2 水4,水4,水1,水1:4 6 8 10 12 2,月,火 金,木2 木4,福井
舟橋町,福井,水3,水2 水4,水4,水1,水1:4 6 8 10 12 2,月,火 金,木2 木4,福井
舟橋１丁目,福井,水3,水2 水4,水4,水1,水1:4 6 8 10 12 2,月,火 金,木2 木4,福井
冬野町,福井,水1,水2 水4,水4,水3,水3:5 7 9 11 1 3,木,火 金,月1 月3,福井
文京１丁目,福井,水3,水2 水4,水4,水1,水1:5 7 9 11 1 3,木,火 金,月2 月4,福井
文京２丁目,福井,水3,水2 水4,水4,水1,水1:5 7 9 11 1 3,木,火 金,月2 月4,福井
文京３丁目,福井,水3,水2 水4,水4,水1,水1:5 7 9 11 1 3,木,火 金,月2 月4,福井
文京４丁目,福井,水3,水2 水4,水4,水1,水1:5 7 9 11 1 3,木,火 金,月2 月4,福井
舟橋２丁目,福井,水3,水2 水4,水4,水1,水1:4 6 8 10 12 2,月,火 金,木2 木4,福井
文京５丁目,福井,水3,水2 水4,水4,水1,水1:5 7 9 11 1 3,木,火 金,月2 月4,福井
文京６丁目,福井,水3,水2 水4,水4,水1,水1:5 7 9 11 1 3,木,火 金,月2 月4,福井
文京７丁目,福井,水3,水2 水4,水4,水1,水1:5 7 9 11 1 3,木,火 金,月2 月4,福井
舟橋３丁目,福井,水3,水2 水4,水4,水1,水1:4 6 8 10 12 2,月,火 金,木2 木4,福井
渕１丁目,福井,水1,水2 水4,水4,水3,水3:4 6 8 10 12 2,月,火 金,木1 木3,福井
渕２丁目,福井,水1,水2 水4,水4,水3,水3:4 6 8 10 12 2,月,火 金,木1 木3,福井
渕３丁目,福井,水1,水2 水4,水4,水3,水3:4 6 8 10 12 2,月,火 金,木1 木3,福井
渕４丁目【（７０４～７３０、８０１～２５００）】,福井,水1,水2 水4,水4,水3,水3:4 6 8 10 12 2,月,火 金,木1 木3,福井
