地名,センター,びん,缶,段ボール・紙製容器,ペットボトル,蛍光灯,プラ,燃やせる,燃やせない,備考
渕４丁目【（７０４～７３０、８０１～２５００以外）】,福井,水1,水2 水4,水4,水3,水3:4 6 8 10 12 2,木,火 金,月2 月4,福井
福１丁目,福井,水1,水2 水4,水4,水3,水3:4 6 8 10 12 2,月,火 金,木1 木3,福井
福２丁目,福井,水1,水2 水4,水4,水3,水3:4 6 8 10 12 2,月,火 金,木1 木3,福井
舟橋新１丁目,福井,水3,水2 水4,水4,水1,水1:4 6 8 10 12 2,月,火 金,木2 木4,福井
舟橋新２丁目,福井,水3,水2 水4,水4,水1,水1:4 6 8 10 12 2,月,火 金,木2 木4,福井
舟橋黒竜１丁目,福井,水3,水2 水4,水4,水1,水1:4 6 8 10 12 2,月,火 金,木2 木4,福井
舟橋黒竜２丁目,福井,水3,水2 水4,水4,水1,水1:4 6 8 10 12 2,月,火 金,木2 木4,福井
別所町,福井,水1,水2 水4,水4,水3,水3:5 7 9 11 1 3,木,火 金,月1 月3,福井
宝永１丁目,福井,水2,水1 水3,水3,水4,水4:4 6 8 10 12 2,金,月 木,火1 火3,福井
宝永２丁目,福井,水2,水1 水3,水3,水4,水4:4 6 8 10 12 2,金,月 木,火1 火3,福井
宝永３丁目,福井,水2,水1 水3,水3,水4,水4:4 6 8 10 12 2,金,月 木,火1 火3,福井
宝永４丁目,福井,水2,水1 水3,水3,水4,水4:4 6 8 10 12 2,金,月 木,火1 火3,福井
鉾ケ崎町,福井,水1,水2 水4,水4,水3,水3:5 7 9 11 1 3,木,火 金,月1 月3,福井
細坂町,福井,水2,水1 水3,水3,水4,水4:5 7 9 11 1 3,木,火 金,月2 月4,福井
堀ノ宮町,福井,水3,水2 水4,水4,水1,水1:5 7 9 11 1 3,木,火 金,月2 月4,福井
本堂町,福井,水2,水1 水3,水3,水4,水4:5 7 9 11 1 3,木,火 金,月2 月4,福井
堀ノ宮１丁目,福井,水3,水2 水4,水4,水1,水1:5 7 9 11 1 3,木,火 金,月2 月4,福井
舞屋町,福井,水1,水2 水4,水4,水3,水3:4 6 8 10 12 2,月,火 金,木1 木3,福井
真木町,福井,水1,水2 水4,水4,水3,水3:5 7 9 11 1 3,木,火 金,月1 月3,福井
松本１丁目,福井,水2,水1 水3,水3,水4,水4:4 6 8 10 12 2,金,月 木,火1 火3,福井
松本２丁目,福井,水2,水1 水3,水3,水4,水4:4 6 8 10 12 2,金,月 木,火1 火3,福井
松本３丁目,福井,水2,水1 水3,水3,水4,水4:4 6 8 10 12 2,金,月 木,火1 火3,福井
松本４丁目,福井,水2,水1 水3,水3,水4,水4:4 6 8 10 12 2,金,月 木,火1 火3,福井
間山町,福井,水4,水1 水3,水3,水2,水2:5 7 9 11 1 3,月,火 金,木2 木4,福井
丸山町,福井,水4,水1 水3,水3,水2,水2:5 7 9 11 1 3,火,月 木,金2 金4,福井
松城町,福井,水4,水1 水3,水3,水2,水2:5 7 9 11 1 3,火,月 木,金2 金4,福井
町屋１丁目,福井,水3,水2 水4,水4,水1,水1:5 7 9 11 1 3,木,火 金,月2 月4,福井
町屋２丁目,福井,水3,水2 水4,水4,水1,水1:5 7 9 11 1 3,木,火 金,月2 月4,福井
町屋３丁目,福井,水3,水2 水4,水4,水1,水1:5 7 9 11 1 3,木,火 金,月2 月4,福井
丸山１丁目,福井,水4,水1 水3,水3,水2,水2:5 7 9 11 1 3,火,月 木,金2 金4,福井
丸山２丁目,福井,水4,水1 水3,水3,水2,水2:5 7 9 11 1 3,火,月 木,金2 金4,福井
丸山３丁目,福井,水4,水1 水3,水3,水2,水2:5 7 9 11 1 3,火,月 木,金2 金4,福井
三尾野町,福井,水1,水2 水4,水4,水3,水3:5 7 9 11 1 3,木,火 金,月1 月3,福井
三ツ屋町,福井,水3,水2 水4,水4,水1,水1:5 7 9 11 1 3,木,火 金,月2 月4,福井
南江守町,福井,水1,水2 水4,水4,水3,水3:5 7 9 11 1 3,木,火 金,月1 月3,福井
南楢原町,福井,水2,水1 水3,水3,水4,水4:5 7 9 11 1 3,月,火 金,木2 木4,福井
南四ツ居町,福井,水4,水1 水3,水3,水2,水2:5 7 9 11 1 3,火,月 木,金2 金4,福井
みのり１丁目,福井,水1,水2 水4,水4,水3,水3:4 6 8 10 12 2,月,火 金,木1 木3,福井
みのり２丁目,福井,水1,水2 水4,水4,水3,水3:4 6 8 10 12 2,月,火 金,木1 木3,福井
宮地町,福井,水4,水1 水3,水3,水2,水2:5 7 9 11 1 3,金,月 木,火2 火4,福井
御幸１丁目,福井,水4,水1 水3,水3,水2,水2:4 6 8 10 12 2,金,月 木,火2 火4,福井
御幸２丁目,福井,水4,水1 水3,水3,水2,水2:4 6 8 10 12 2,金,月 木,火2 火4,福井
みのり３丁目,福井,水1,水2 水4,水4,水3,水3:4 6 8 10 12 2,月,火 金,木1 木3,福井
みのり４丁目,福井,水1,水2 水4,水4,水3,水3:4 6 8 10 12 2,月,火 金,木1 木3,福井
御幸３丁目,福井,水4,水1 水3,水3,水2,水2:4 6 8 10 12 2,金,月 木,火2 火4,福井
御幸４丁目,福井,水4,水1 水3,水3,水2,水2:4 6 8 10 12 2,金,月 木,火2 火4,福井
水越１丁目,福井,水1,水2 水4,水4,水3,水3:5 7 9 11 1 3,火,月 木,金1 金3,福井
水越２丁目,福井,水1,水2 水4,水4,水3,水3:5 7 9 11 1 3,火,月 木,金1 金3,福井
南四ツ居１丁目,福井,水4,水1 水3,水3,水2,水2:5 7 9 11 1 3,火,月 木,金2 金4,福井
南四ツ居２丁目,福井,水4,水1 水3,水3,水2,水2:5 7 9 11 1 3,火,月 木,金2 金4,福井
三ツ屋１丁目,福井,水3,水2 水4,水4,水1,水1:5 7 9 11 1 3,木,火 金,月2 月4,福井
三ツ屋２丁目,福井,水3,水2 水4,水4,水1,水1:5 7 9 11 1 3,木,火 金,月2 月4,福井
六日市町,福井,水3,水2 水4,水4,水1,水1:4 6 8 10 12 2,月,火 金,木2 木4,福井
桃園１丁目,福井,水1,水2 水4,水4,水3,水3:4 6 8 10 12 2,火,月 木,金2 金4,福井
桃園２丁目,福井,水1,水2 水4,水4,水3,水3:4 6 8 10 12 2,火,月 木,金2 金4,福井
森行町,福井,水1,水2 水4,水4,水3,水3:5 7 9 11 1 3,木,火 金,月1 月3,福井
門前町,福井,水1,水2 水4,水4,水3,水3:4 6 8 10 12 2,月,火 金,木1 木3,福井
門前１丁目,福井,水1,水2 水4,水4,水3,水3:4 6 8 10 12 2,月,火 金,木1 木3,福井
門前２丁目,福井,水1,水2 水4,水4,水3,水3:4 6 8 10 12 2,月,火 金,木1 木3,福井
安田町,福井,水2,水1 水3,水3,水4,水4:5 7 9 11 1 3,木,火 金,月2 月4,福井
安竹町,福井,水3,水2 水4,水4,水1,水1:5 7 9 11 1 3,木,火 金,月2 月4,福井
八ツ島町,福井,水3,水2 水4,水4,水1,水1:5 7 9 11 1 3,木,火 金,月2 月4,福井
山室町,福井,水3,水2 水4,水4,水1,水1:4 6 8 10 12 2,月,火 金,木2 木4,福井
八ツ島１丁目,福井,水3,水2 水4,水4,水1,水1:5 7 9 11 1 3,木,火 金,月2 月4,福井
有楽町,福井,水1,水2 水4,水4,水3,水3:4 6 8 10 12 2,火,月 木,金2 金4,福井
四ツ井１丁目,福井,水4,水1 水3,水3,水2,水2:5 7 9 11 1 3,火,月 木,金2 金4,福井
四ツ井２丁目,福井,水4,水1 水3,水3,水2,水2:5 7 9 11 1 3,火,月 木,金2 金4,福井
米松１丁目,福井,水4,水1 水3,水3,水2,水2:5 7 9 11 1 3,火,月 木,金2 金4,福井
米松２丁目,福井,水4,水1 水3,水3,水2,水2:5 7 9 11 1 3,火,月 木,金2 金4,福井
寮町,福井,水4,水1 水3,水3,水2,水2:5 7 9 11 1 3,月,火 金,木2 木4,福井
若栄町,福井,水4,水1 水3,水3,水2,水2:5 7 9 11 1 3,月,火 金,木2 木4,福井
若杉町,福井,水1,水2 水4,水4,水3,水3:5 7 9 11 1 3,火,月 木,金2 金4,福井
和田中町,福井,水4,水1 水3,水3,水2,水2:4 6 8 10 12 2,金,月 木,火2 火4,福井
渡町【１０１～６２０】,福井,水1,水2 水4,水4,水3,水3:5 7 9 11 1 3,火,月 木,金1 金3,福井
渡町【６２１～７２０】,福井,水1,水2 水4,水4,水3,水3:5 7 9 11 1 3,火,月 木,金2 金4,福井
和田１丁目,福井,水4,水1 水3,水3,水2,水2:4 6 8 10 12 2,金,月 木,火2 火4,福井
和田２丁目,福井,水4,水1 水3,水3,水2,水2:4 6 8 10 12 2,金,月 木,火2 火4,福井
若杉浜１丁目,福井,水1,水2 水4,水4,水3,水3:5 7 9 11 1 3,火,月 木,金2 金4,福井
若杉浜２丁目,福井,水1,水2 水4,水4,水3,水3:5 7 9 11 1 3,火,月 木,金2 金4,福井
若杉浜３丁目,福井,水1,水2 水4,水4,水3,水3:5 7 9 11 1 3,火,月 木,金2 金4,福井
和田３丁目,福井,水4,水1 水3,水3,水2,水2:4 6 8 10 12 2,金,月 木,火2 火4,福井
和田中１丁目,福井,水4,水1 水3,水3,水2,水2:4 6 8 10 12 2,金,月 木,火2 火4,福井
和田中２丁目,福井,水4,水1 水3,水3,水2,水2:4 6 8 10 12 2,金,月 木,火2 火4,福井
和田中３丁目,福井,水4,水1 水3,水3,水2,水2:4 6 8 10 12 2,金,月 木,火2 火4,福井
和田東１丁目,福井,水4,水1 水3,水3,水2,水2:4 6 8 10 12 2,金,月 木,火2 火4,福井
和田東２丁目,福井,水4,水1 水3,水3,水2,水2:4 6 8 10 12 2,金,月 木,火2 火4,福井
若杉１丁目,福井,水1,水2 水4,水4,水3,水3:5 7 9 11 1 3,火,月 木,金2 金4,福井
若杉２丁目,福井,水1,水2 水4,水4,水3,水3:5 7 9 11 1 3,火,月 木,金2 金4,福井
若杉３丁目【３０１～１１００番】,福井,水1,水2 水4,水4,水3,水3:4 6 8 10 12 2,月,火 金,木1 木3,福井
若杉３丁目【（３０１～１１００以外）】,福井,水1,水2 水4,水4,水3,水3:5 7 9 11 1 3,火,月 木,金2 金4,福井
若杉４丁目,福井,水1,水2 水4,水4,水3,水3:5 7 9 11 1 3,火,月 木,金2 金4,福井
鮎川町,福井,水2,水1 水3,水3,水4,水4:5 7 9 11 1 3,月,火 金,木2 木4,福井
大丹生町,福井,水2,水1 水3,水3,水4,水4:5 7 9 11 1 3,月,火 金,木2 木4,福井
国見町,福井,水2,水1 水3,水3,水4,水4:5 7 9 11 1 3,月,火 金,木2 木4,福井（冬季特別）
小丹生町,福井,水2,水1 水3,水3,水4,水4:5 7 9 11 1 3,月,火 金,木2 木4,福井
白浜町,福井,水2,水1 水3,水3,水4,水4:5 7 9 11 1 3,月,火 金,木2 木4,福井
尼ケ谷町,福井,*1,*1,*1,*1,*1,*1,*1,*1,福井（冬季特別）
謡谷町,福井,*1,*1,*1,*1,*1,*1,*1,*1,福井（冬季特別）
大矢町,福井,水2,水1 水3,水3,水4,水4:5 7 9 11 1 3,月,火 金,木2 木4,福井
風尾町,福井,水2,水1 水3,水3,水4,水4:5 7 9 11 1 3,月,火 金,木2 木4,福井
国山町,福井,*1,*1,*1,*1,*1,*1,*1,*1,福井（冬季特別）
宿堂町,福井,水2,水1 水3,水3,水4,水4:5 7 9 11 1 3,月,火 金,木2 木4,福井
白滝町,福井,水2,水1 水3,水3,水4,水4:5 7 9 11 1 3,月,火 金,木2 木4,福井
千合町,福井,*1,*1,*1,*1,*1,*1,*1,*1,福井（冬季特別）
西別所町,福井,水2,水1 水3,水3,水4,水4:5 7 9 11 1 3,月,火 金,木2 木4,福井
畠中町,福井,水2,水1 水3,水3,水4,水4:5 7 9 11 1 3,月,火 金,木2 木4,福井
武周町,福井,*1,*1,*1,*1,*1,*1,*1,*1,福井（冬季特別）
二ツ屋町,福井,*1,*1,*1,*1,*1,*1,*1,*1,福井（冬季特別）
別畑町,福井,*1,*1,*1,*1,*1,*1,*1,*1,福井（冬季特別）
水谷町,福井,水2,水1 水3,水3,水4,水4:5 7 9 11 1 3,月,火 金,木2 木4,福井
荒谷町,福井,水2,水1 水3,水3,水4,水4:5 7 9 11 1 3,月,火 金,木2 木4,福井
池尻町,福井,水2,水1 水3,水3,水4,水4:5 7 9 11 1 3,月,火 金,木2 木4,福井
石新保町,福井,水2,水1 水3,水3,水4,水4:5 7 9 11 1 3,月,火 金,木2 木4,福井
石畠町,福井,水2,水1 水3,水3,水4,水4:5 7 9 11 1 3,月,火 金,木2 木4,福井
一王寺町,福井,水2,水1 水3,水3,水4,水4:5 7 9 11 1 3,月,火 金,木2 木4,福井
市ノ瀬町,福井,水2,水1 水3,水3,水4,水4:5 7 9 11 1 3,月,火 金,木2 木4,福井
糸崎町,福井,水2,水1 水3,水3,水4,水4:5 7 9 11 1 3,月,火 金,木2 木4,福井
石橋町,福井,水2,水1 水3,水3,水4,水4:5 7 9 11 1 3,月,火 金,木2 木4,福井
上野町,福井,水2,水1 水3,水3,水4,水4:5 7 9 11 1 3,月,火 金,木2 木4,福井
内山梨子町,福井,水2,水1 水3,水3,水4,水4:5 7 9 11 1 3,月,火 金,木2 木4,福井
江上町,福井,水2,水1 水3,水3,水4,水4:5 7 9 11 1 3,月,火 金,木2 木4,福井
大窪町,福井,水2,水1 水3,水3,水4,水4:5 7 9 11 1 3,月,火 金,木2 木4,福井
大谷町,福井,水2,水1 水3,水3,水4,水4:5 7 9 11 1 3,月,火 金,木2 木4,福井
大年町,福井,水2,水1 水3,水3,水4,水4:5 7 9 11 1 3,月,火 金,木2 木4,福井
柿谷町,福井,水2,水1 水3,水3,水4,水4:5 7 9 11 1 3,月,火 金,木2 木4,福井
川尻町,福井,水2,水1 水3,水3,水4,水4:5 7 9 11 1 3,月,火 金,木2 木4,福井
北菅生町,福井,水2,水1 水3,水3,水4,水4:5 7 9 11 1 3,月,火 金,木2 木4,福井
木下町,福井,水2,水1 水3,水3,水4,水4:5 7 9 11 1 3,月,火 金,木2 木4,福井
木米町,福井,水2,水1 水3,水3,水4,水4:5 7 9 11 1 3,月,火 金,木2 木4,福井
串野町,福井,水2,水1 水3,水3,水4,水4:5 7 9 11 1 3,月,火 金,木2 木4,福井
黒丸城町,福井,水2,水1 水3,水3,水4,水4:5 7 9 11 1 3,月,火 金,木2 木4,福井
河内町,福井,水2,水1 水3,水3,水4,水4:5 7 9 11 1 3,月,火 金,木2 木4,福井
小尉町,福井,水2,水1 水3,水3,水4,水4:5 7 9 11 1 3,月,火 金,木2 木4,福井
小野町,福井,水2,水1 水3,水3,水4,水4:5 7 9 11 1 3,月,火 金,木2 木4,福井
御所垣内町,福井,水2,水1 水3,水3,水4,水4:5 7 9 11 1 3,月,火 金,木2 木4,福井
小幡町,福井,水2,水1 水3,水3,水4,水4:5 7 9 11 1 3,月,火 金,木2 木4,福井
佐野町,福井,水2,水1 水3,水3,水4,水4:5 7 9 11 1 3,月,火 金,木2 木4,福井
島山梨子町,福井,水2,水1 水3,水3,水4,水4:5 7 9 11 1 3,月,火 金,木2 木4,福井
浄土寺町,福井,水2,水1 水3,水3,水4,水4:5 7 9 11 1 3,月,火 金,木2 木4,福井
菖蒲谷町,福井,水2,水1 水3,水3,水4,水4:5 7 9 11 1 3,月,火 金,木2 木4,福井
昭和新町,福井,水2,水1 水3,水3,水4,水4:5 7 9 11 1 3,月,火 金,木2 木4,福井
白方町,福井,水2,水1 水3,水3,水4,水4:5 7 9 11 1 3,月,火 金,木2 木4,福井
砂子坂町,福井,水2,水1 水3,水3,水4,水4:5 7 9 11 1 3,月,火 金,木2 木4,福井
砂子田町,福井,水2,水1 水3,水3,水4,水4:5 7 9 11 1 3,月,火 金,木2 木4,福井
仙町,福井,水2,水1 水3,水3,水4,水4:5 7 9 11 1 3,月,火 金,木2 木4,福井
高須町,福井,*1,*1,*1,*1,*1,*1,*1,*1,福井（冬季特別）
田ノ頭町,福井,水2,水1 水3,水3,水4,水4:5 7 9 11 1 3,月,火 金,木2 木4,福井
為寄町,福井,水2,水1 水3,水3,水4,水4:5 7 9 11 1 3,月,火 金,木2 木4,福井
剣大谷町,福井,水2,水1 水3,水3,水4,水4:5 7 9 11 1 3,月,火 金,木2 木4,福井
燈豊町,福井,水2,水1 水3,水3,水4,水4:5 7 9 11 1 3,月,火 金,木2 木4,福井
中町,福井,水2,水1 水3,水3,水4,水4:5 7 9 11 1 3,月,火 金,木2 木4,福井
中河内町,福井,水2,水1 水3,水3,水4,水4:5 7 9 11 1 3,月,火 金,木2 木4,福井
中平町,福井,*1,*1,*1,*1,*1,*1,*1,*1,福井（冬季特別）
長橋町,福井,水2,水1 水3,水3,水4,水4:5 7 9 11 1 3,月,火 金,木2 木4,福井
中山町,福井,水2,水1 水3,水3,水4,水4:5 7 9 11 1 3,月,火 金,木2 木4,福井
波寄町,福井,水2,水1 水3,水3,水4,水4:5 7 9 11 1 3,月,火 金,木2 木4,福井
西荒井町,福井,水2,水1 水3,水3,水4,水4:5 7 9 11 1 3,月,火 金,木2 木4,福井
西中野町,福井,水2,水1 水3,水3,水4,水4:5 7 9 11 1 3,月,火 金,木2 木4,福井
西二ツ屋町,福井,水2,水1 水3,水3,水4,水4:5 7 9 11 1 3,月,火 金,木2 木4,福井
西畑町,福井,水2,水1 水3,水3,水4,水4:5 7 9 11 1 3,月,火 金,木2 木4,福井
浜島町,福井,水2,水1 水3,水3,水4,水4:5 7 9 11 1 3,月,火 金,木2 木4,福井
浜住町,福井,水2,水1 水3,水3,水4,水4:5 7 9 11 1 3,月,火 金,木2 木4,福井
浜別所町,福井,水2,水1 水3,水3,水4,水4:5 7 9 11 1 3,月,火 金,木2 木4,福井
東平町,福井,*1,*1,*1,*1,*1,*1,*1,*1,福井（冬季特別）
深坂町,福井,水2,水1 水3,水3,水4,水4:5 7 9 11 1 3,月,火 金,木2 木4,福井
布施田町,福井,水2,水1 水3,水3,水4,水4:5 7 9 11 1 3,月,火 金,木2 木4,福井
松蔭町,福井,水2,水1 水3,水3,水4,水4:5 7 9 11 1 3,月,火 金,木2 木4,福井
水切町,福井,水2,水1 水3,水3,水4,水4:5 7 9 11 1 3,月,火 金,木2 木4,福井
三宅町,福井,水2,水1 水3,水3,水4,水4:5 7 9 11 1 3,月,火 金,木2 木4,福井
南菅生町,福井,水2,水1 水3,水3,水4,水4:5 7 9 11 1 3,月,火 金,木2 木4,福井
蓑町,福井,水2,水1 水3,水3,水4,水4:5 7 9 11 1 3,月,火 金,木2 木4,福井
和布町,福井,水2,水1 水3,水3,水4,水4:5 7 9 11 1 3,月,火 金,木2 木4,福井
免鳥町,福井,水2,水1 水3,水3,水4,水4:5 7 9 11 1 3,月,火 金,木2 木4,福井
八幡町,福井,水2,水1 水3,水3,水4,水4:5 7 9 11 1 3,月,火 金,木2 木4,福井
両橋屋町,福井,水2,水1 水3,水3,水4,水4:5 7 9 11 1 3,月,火 金,木2 木4,福井
天池町,福井,水3,水2 水4,水4,水1,水1:4 6 8 10 12 2,火,月 木,金2 金4,福井
石盛１丁目,福井,水3,水2 水4,水4,水1,水1:4 6 8 10 12 2,火,月 木,金2 金4,福井
石盛２丁目,福井,水3,水2 水4,水4,水1,水1:4 6 8 10 12 2,火,月 木,金2 金4,福井
石盛３丁目,福井,水3,水2 水4,水4,水1,水1:4 6 8 10 12 2,火,月 木,金2 金4,福井
石盛町,福井,水3,水2 水4,水4,水1,水1:4 6 8 10 12 2,火,月 木,金2 金4,福井
稲多新町,福井,水3,水2 水4,水4,水1,水1:4 6 8 10 12 2,火,月 木,金2 金4,福井
稲多浜町,福井,水3,水2 水4,水4,水1,水1:4 6 8 10 12 2,火,月 木,金2 金4,福井
稲多元町,福井,水3,水2 水4,水4,水1,水1:4 6 8 10 12 2,火,月 木,金2 金4,福井
上野本町１丁目,福井,水3,水2 水4,水4,水1,水1:4 6 8 10 12 2,火,月 木,金2 金4,福井
上野本町２丁目,福井,水3,水2 水4,水4,水1,水1:4 6 8 10 12 2,火,月 木,金2 金4,福井
上野本町３丁目,福井,水3,水2 水4,水4,水1,水1:4 6 8 10 12 2,火,月 木,金2 金4,福井
上野本町４丁目,福井,水3,水2 水4,水4,水1,水1:4 6 8 10 12 2,火,月 木,金2 金4,福井
上野本町新【（団地）】,福井,水3,水2 水4,水4,水1,水1:4 6 8 10 12 2,火,月 木,金2 金4,福井
